code	locality	site	pip.count	hyb.count	qui.count	year	h-index	lat	long	ref	notes	orig.locality	order				
123.MariAZ.2023	"Maricopa Co, AZ"	MariAZ	0	0	16	2023	0.00	33.0736167	-111.9737667	This study	Vectech ID = MARAZ	Maricopa County AZ	123				
124.DalFTX.2024	"Dallas-Fort Worth, TX"	DalFTX	1	2	16	2024	0.11	32.87272	-97.345164	This study	Vectech ID = DFWTX	Dallas-Fort Worth TX	124				
125.AubuAL.1957	"Auburn, AL"	AubuAL	0	0	25	1957	0.00	32.6099	-85.4808	"Barr, 1957"	"Barr, 1957, DVM ratios (Oct. 3, 1953)"	"Auburn, Alabama"	125				
126.MontAL.1957	"Montgomery, AL"	MontAL	0	0	60	1957	0.00	32.367	-86.3006	"Barr, 1957"	"Barr, 1957, DVM ratios "	"Montgomery, Alabama"	126				
127.JackMS.2005	"Jackson Heines Co, MS"	JackMS	0	28	72	2005	0.14	32.3110	-90.1740	"Kothera et al, 2009 "	"Kothera et al, 2009 (microsatellites), Fig 8. summary with percent total reported, collected: 8/1/2005-Vectech-08/30/2005, month: Aug, year: 2005"	"Jackson, Heines County, MS"	127				
128.BrooMS.2005	"Brookhaven Lincoln Co, MS"	BrooMS	0	22	78	2005	0.11	31.5860	-90.4520	"Kothera et al, 2009 "	"Kothera et al, 2009 (microsatellites), Fig 8. summary with percent total reported, collected: 8/1/2005-Vectech-08/30/2005, month: Aug, year: 2005"	"Brookhaven, Lincoln County, MS"	128				
129.BakeGA.1953	"Baker Co, GA"	BakeGA	0	0	28	1953	0.00	31.3439	-84.4555	"Barr, 1957"	"Barr, 1957, DVM ratios (Sept. 1953)"	"Baker Co., Georgia"	129				
130.CollTX.2023	"College Station, TX"	CollTX	0	3	17	2023	0.08	30.60044	-96.26893	This study	Vectech ID = COSTX	College Station TX	130				
131.SlidLA.2024	"Slidell, LA"	SlidLA	0	1	18	2024	0.03	30.327	-89.749	This study	Vectech ID = SLILA	Slidell LA	131				
132.BeauTX.1954	"Beaumont, TX"	BeauTX	0	0	65	1954	0.00	30.086	-94.1018	"Barr, 1957"	"Barr, 1957, DVM ratios (Aug. 1954)"	"Beaumont, Texas"	132				
133.AnasFL.2023	"Anastasia, FL"	AnasFL	0	0	19	2023	0.00	29.903108	-81.400743	This study	Vectech ID = ANAFL	Anastasia FL	133				
134.HousTX.1957	"Houston, TX"	HousTX	0	0	76	1957	0.00	29.7589	-95.3677	"Barr, 1957"	"Barr, 1957, DVM ratios "	"Houston, Texas"	134				
135.EaglTX.1953	"Eagle Pass, TX"	EaglTX	0	0	2	1953	0.00	28.7084	-100.5039	"Barr, 1957"	"Barr, 1957, DVM ratios (Oct. 3, 1953)"	"Eagle Pass, Texas"	135				
136.OrlaFL.1957	"Orlando, FL"	OrlaFL	0	0	103	1957	0.00	28.5421	-81.379	"Barr, 1957"	"Barr, 1957, DVM ratios "	"Orlando, Florida"	136				
137.MiDaFL.2023	"Miami-Dade Co, FL"	MiDaFL	0	0	19	2023	0.00	25.80141	-80.19909	This study	Vectech ID = MIAFL	Miami-Dade County FL	137				
138.MiamFL.1957	"Miami, FL"	MiamFL	0	0	62	1957	0.00	25.7742	-80.1936	"Barr, 1957"	"Barr, 1957, DVM ratios "	"Miami, Florida"	138				
